,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
FBXO42,-0.206720543968989,6.36584145826664,-1.53987317768153,0.130600205887796,0.253462023173098,-5.73443192309861,Not
THNSL1,0.0535546357858188,3.29528399994361,1.53985946034988,0.130603546730571,0.253462023173098,-5.73445222074974,Not
TSPY1,0.11233444956953,3.98303628400102,1.53952801297751,0.130684291248897,0.253573929356022,-5.73494261681316,Not
TTTY15,0.221826657456428,4.01401635018444,1.53945493738279,0.130702098715879,0.253573929356022,-5.73505072372779,Not
CRAT,0.124291150531971,6.70271209697996,1.53894262863305,0.130826995593158,0.253776544626515,-5.73580849592,Not
MYEF2,0.0295249508308277,2.71098854846433,1.53822685203487,0.131001656547885,0.254075446975128,-5.7368668442201,Not
MAP7,0.415320553711899,4.78970865518037,1.53814330367507,0.13102205586172,0.254075446975128,-5.73699035009732,Not
ZFP30,0.152256635395074,3.69097125547928,1.53779056391127,0.131108209488494,0.254202770405782,-5.73751172334347,Not
KLHL41,0.0271158341814313,2.87391235498641,1.53754001977434,0.13116943029317,0.254281719900937,-5.73788197923827,Not
ACVR1,0.296081462925782,5.99472360775645,1.53740568338417,0.131202265008989,0.254305624770509,-5.73808048016686,Not
SLC35D1,0.378003237051806,6.16635844454789,1.53694081595647,0.131315939489179,0.254486187106921,-5.73876726688714,Not
ACE2,0.0380780093596162,3.50743017216474,1.53640672401185,0.131446638916526,0.254699681687498,-5.73955609412059,Not
LSG1,0.247524317280471,6.62445370248438,1.53557553155961,0.131650250104533,0.25505436614285,-5.74078323362343,Not
ANP32A,-0.208105538889544,8.91746825705537,-1.53522307403797,0.131736665316566,0.255174384383803,-5.741303407596,Not
ARAF,0.144993232998497,7.64339744417391,1.53515505831974,0.131753346576947,0.255174384383803,-5.7414037761436,Not
RSPH14,-0.0169682332023444,2.14824491529823,-1.5349762134976,0.131797217409485,0.255219498443378,-5.74166767245354,Not
DOC2B,0.128953275307452,3.56097665003974,1.53452876219581,0.131907028966273,0.255392269789055,-5.74232779266964,Not
THPO,0.0280220414006016,3.05726737908322,1.5342011954181,0.131987465431924,0.255508121391003,-5.74281093875683,Not
VTCN1,0.05571868664327,2.66019926005673,1.53394398592636,0.132050652669033,0.255590550102062,-5.74319024602355,Not
INHBC,0.147169656387982,3.18575308243308,1.53315536466273,0.132244539914623,0.255925889929953,-5.74435287051684,Not
TERF1,0.23106751382392,6.70425125305842,1.5329428910632,0.132296816777543,0.255987116769402,-5.74466601763706,Not
HSPB8,0.032296048551983,2.50182082293308,1.53212013355265,0.132499403581592,0.256317730468989,-5.74587824297969,Not
LEMD3,-0.216479003015864,7.59882375879789,-1.53208113239188,0.132509012961957,0.256317730468989,-5.74593569154196,Not
