,sample,Activated CD8 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Activated CD4 T cell,Central memory CD4 T cell,Effector memeory CD4 T cell,T follicular helper cell,Gamma delta T cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell,Regulatory T cell,Activated B cell,Immature  B cell,Memory B cell,Natural killer cell,CD56bright natural killer cell,CD56dim natural killer cell,Myeloid derived suppressor cell,Natural killer T cell,Activated dendritic cell,Plasmacytoid dendritic cell,Immature dendritic cell,Macrophage,Eosinophil,Mast cell,Monocyte,Neutrophil,group
45,TCGA.AB.2981.03B,0.290212000129457,0.384189381605537,0.408608404924948,0.204641041756407,0.539234878571884,0.285405939755993,0.267129261337783,0.353856795594375,0.190537767966409,0.0513077743823832,0.0427540767281314,0.432817577941944,0.109260736454535,0.311541335021868,0.203591830219371,0.216674307904216,0.20530283508809,0.293649674559684,0.678188330000198,0.156352826421424,0.423909684341689,0.491487596582563,0.388165412447992,0.444062225583185,0.286930674067088,0.371965140403264,0.539167671975034,0.296764897920949,Low
46,TCGA.AB.2999.03B,0.462879413183059,0.257058786148408,0.22252946213649,0.247981874516797,0.5145880495693,0.217797449241718,0.0590942722414491,0.254542008127798,0.151512472652363,0.0402676634834107,-0.0365339701240708,0.2270970804047,0.0915052625674289,0.214294284440583,0.24839890375176,0.11717787222123,0.236170644355123,0.169864376413411,0.445964954522718,0.0772158893236502,0.224150927340913,0.419626485250849,0.34807456813553,0.139259501628274,0.160079041322023,0.309372273350708,0.398593394194992,-0.0460006618444745,Low
47,TCGA.AB.2885.03A,0.372410117463706,0.227005169083126,0.263761564302988,0.23165308640717,0.489299887672442,0.292027217615622,0.105240378333611,0.221080971832659,0.146442698460011,-0.116007427348583,0.0836043774607109,0.132852090084674,0.145215328828859,0.112109029780402,0.254356610455329,0.133531816884407,0.210124131193715,0.14457056142678,0.408626915924137,0.112412212858758,0.218120606306743,0.462018306937855,0.351871474866583,0.141768301155314,0.0438903236355453,0.206939711536861,0.364725978639297,-0.139986101791276,High
48,TCGA.AB.2911.03A,0.334012829551036,0.357545068994695,0.333072723408481,0.231908318666692,0.521399033846502,0.327879584960914,0.240880707649038,0.295847649351064,0.176560126833373,0.0193304247824762,0.0497814996396902,0.341727601883349,0.186128420840337,0.322841232967925,0.314529165091127,0.182555595486817,0.221612222193832,0.227583124086862,0.632378604470874,0.145013468122885,0.379122508732919,0.519709486587902,0.313052002591179,0.402334522328042,0.188137873419209,0.346323476824443,0.525530850164491,0.232477540026637,Low
49,TCGA.AB.2886.03A,0.339894069283883,0.252180505333032,0.299280285309769,0.244338977853032,0.445711581958723,0.247693484320693,0.0621690892181594,0.227475349863746,0.158085223686208,-0.0970264086288943,0.0931962758426915,0.273147392622556,0.184946498097159,0.137650477683339,0.259349138828622,0.0766429678367307,0.186592166519315,0.133463874135312,0.365677811572564,0.0419781451269909,0.186588196204058,0.385535576920817,0.327753348384618,0.049858041869695,0.126393863624002,0.135693841317982,0.343751654260522,-0.117307218017987,High
50,TCGA.AB.3008.03A,0.337237435232145,0.236537986721234,0.230536074923841,0.30981038412156,0.425615566598126,0.257422156389703,0.154343676678943,0.272553531767828,0.143717131457,-0.029004918725209,0.0864757346245682,0.187275855239109,0.176529461366648,0.209667749223062,0.246213345486197,0.153847652685666,0.187758224071602,0.168692256401419,0.416492132331112,0.0662219723675864,0.251530936518663,0.418040619926721,0.257740780497394,0.0836759373005936,0.0833260481153405,0.123194924286453,0.332459486161108,-0.181456052443979,High
51,TCGA.AB.2976.03A,0.265798034502842,0.225104427357126,0.189419501732515,0.258554173337957,0.470072745540816,0.30385111188088,0.0753053301580856,0.247152085903787,0.118954998156079,-0.107326546443873,0.126758778683518,0.167255065352583,0.0871500834391619,0.0944576045841055,0.276191903279897,0.136432131174441,0.22675881200832,0.157090113064279,0.389828217612681,0.0470169741621179,0.237451632145077,0.473720359986286,0.365204233165894,0.181003824383359,0.151657817566361,0.265818959994815,0.391493998610614,-0.114041092011844,High
52,TCGA.AB.2815.03A,0.183772621164403,0.384623070515517,0.324979527188948,0.280124582962356,0.473391689087988,0.317239847854967,0.233735531060886,0.315012209403332,0.167620500930722,-0.0857564488820953,0.149802912625609,0.415566986803203,0.130422798382036,0.310650316131041,0.267630808361986,0.209704956508059,0.17761749221926,0.15696828147543,0.64141742852103,0.13516317842699,0.334606988369129,0.477619979084655,0.375982856550031,0.342709114402412,0.244852963810685,0.341513566628994,0.507401515934742,0.124097663621645,High
53,TCGA.AB.2914.03A,0.295519196444327,0.327928430065616,0.287591775860294,0.330266030732892,0.446684618694833,0.265606636485759,0.182728396300652,0.29625922192471,0.141808359090771,-0.102645076901851,0.161996045246073,0.332509532965383,0.167799653358312,0.3012407051232,0.245246688302252,0.1716675003039,0.175194158936108,0.144907002531787,0.549990719578943,0.128826801480328,0.241799684444549,0.403188470625848,0.350288306870323,0.160441340038747,0.238763790437997,0.388083670631211,0.436186464015953,0.031843494996638,High
54,TCGA.AB.2839.03A,0.265531871745951,0.259595742470393,0.193637232108602,0.224164777011857,0.492674341369926,0.28531509558913,0.085152772366649,0.246976052119629,0.125973191263823,-0.056115501533991,0.111232352492192,0.192029851614573,0.0353750097903037,0.0678779373360346,0.287137904004034,0.1367996470488,0.217348579630316,0.102588176107385,0.383792619661788,0.0790774287999787,0.223624168155747,0.409250249645648,0.324441037545763,0.139426169274293,0.155929341908903,0.307884684167605,0.354332295759661,-0.155130404934827,High
