,GSM239323,GSM239324,GSM239326,GSM239328,GSM239329,GSM239331,GSM239332,GSM239333,GSM239334,GSM239335,GSM239345,GSM239346,GSM239348,GSM239363,GSM239371,GSM239460,GSM239485,GSM239487,GSM239488,GSM239489,GSM239490,GSM239491,GSM239492,GSM239493,GSM239494,GSM239495,GSM239496,GSM239497,GSM239498,GSM239516,GSM239520,GSM239580,GSM240405,GSM240406,GSM240427,GSM240429,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499
EIF4G2,11.3602692404687,11.730656255,11.4911558920312,11.7510331842188,11.67350383625,11.7247271909375,11.4699476876562,11.6591048321875,11.6535400814063,11.8158336023437,12.1345130354687,11.4794632432813,11.9924157796875,11.8579994867188,11.805547393125,12.0812966017187,11.4911558920312,11.7408142921875,12.54050887,11.6687954595312,11.643038084375,11.730656255,11.9273835523438,12.526909320625,12.3718955734375,12.1699244170313,11.6983486165625,11.1265868345313,11.8206431767188,11.7357243965625,11.3641722423438,11.7159946921875,11.0526909448438,11.8101532834375,11.3102686648438,11.5661197454688,11.3354754529687,11.52012506375,11.5579709734375,11.4446706560938,11.4988787459375,11.5227765842188,11.5849277390625,11.3826399029687,11.3441298889063,11.2736281835938
EIF3D,10.2080935154062,9.7867211563125,10.3164360721875,10.1637593070156,10.55783124375,10.3831266764062,10.579605989375,10.35104164625,10.421042865,10.457640041875,10.7995629723438,10.390678659375,10.299074800625,9.98208932998437,10.7052074101562,10.8506310559375,11.0463438479687,10.3528457484375,9.58717581648438,10.6439256554688,10.9382341945312,11.1325462151562,10.5906289715625,10.4516408595312,10.5932241289063,10.71060922375,10.7467053329687,10.77244892,9.94564807379687,9.943916957625,9.89987733478125,10.7212706553125,10.7995629723438,10.6568559017187,10.2665974467187,10.9884138865625,9.19815729803125,9.7611828910625,9.70090231929687,9.97613756639062,9.11561716385937,9.75318281971875,9.49946478567188,9.28182516642187,9.80763675834375,9.2901676835
PARK7,11.4356565821875,11.1737180664063,11.2874271660937,11.236649664375,11.266910341875,11.236649664375,11.3485325332813,11.0668376735937,11.1171247964062,11.1265868345313,10.7927151475,11.1087334357813,11.0430514009375,10.9024711370313,11.6186229970313,10.8753588084375,11.703100405,11.6102481775,10.511947885625,11.4911558920312,11.3138376378125,11.1059198064063,11.2004732957813,10.8951417001563,11.266910341875,11.255757480625,10.6851731976562,11.4834521535938,10.7770820878125,10.9213426301562,11.0145968101563,10.9714912875,11.6001702014063,11.082513630625,10.76772999875,10.8179756154688,9.287429128125,9.07425874292188,9.43324092039063,9.75318281971875,8.9351656809375,9.52090994709375,9.50365582932812,9.50843911682813,9.4960506671875,9.13818999595312
SRP14,12.2706157517188,12.1816344129687,12.2706157517188,11.987271784375,11.8908579129687,12.1754080120312,11.9013974585938,11.97507277875,12.0812966017187,12.1094574814063,12.3427050953125,12.1521236548438,12.3871722146875,12.0221475610937,12.2706157517188,12.5185568517187,12.69041202625,12.0749192467187,12.1699244170313,12.2632401282813,12.349809535,12.1027042,12.1754080120312,12.349809535,12.4239230075,12.4642597864063,12.6292119540625,12.1094574814063,12.0895040270312,11.8787266917188,12.5342027696875,12.2503089165625,12.18823337875,11.8845610610938,12.5185568517187,12.2571764429688,11.5496186079687,11.9462276457812,11.5154150953125,11.9013974585938,11.637215908125,11.74569982625,12.0155201610938,11.987271784375,11.934156779375,11.7408142921875
GDI2,10.27331921,9.37006970851563,9.61917938690625,9.7611828910625,8.96170381498438,9.43875438857813,9.62471366851562,9.01499743173438,10.0206665518125,9.854503351875,9.83288882734375,10.7391024596875,9.89361742542187,9.47125103185937,9.71133989596875,10.0923052304844,9.14202205753125,9.9380210795625,9.43444101717187,9.41931774032813,10.2846219282813,10.2151804142969,9.88465641596875,9.77180687434375,9.72272171698438,10.2846219282813,9.68282586615625,9.97443178814063,9.51516640684375,9.39474996951562,9.39915207820312,10.4933082476563,9.34241683460938,10.4680597145313,10.4474246503125,9.14740262685937,9.45101693420312,9.5197636065625,9.66696157648438,9.41583576609375,9.27376859401562,9.72655342165625,9.16839568635937,8.70971991951562,8.15204900396875,9.6018225831875
RPL11,13.1398485814063,12.7690469446875,13.2474188275,13.0626381826563,12.9670919229688,12.8974440670313,13.0021617415625,12.9213857246875,12.9838703326563,12.7993052326563,13.3418032192188,13.0203747190625,12.7831281175,12.9838703326563,13.4121642129688,13.0626381826563,12.9575313615625,12.94014454,12.7690469446875,13.198954445,13.4489106060937,13.301760489375,13.0699788603125,13.2061104554687,13.1061057984375,13.21521162125,13.0203747190625,13.4958302523437,12.858905340625,12.7759114790625,12.2964053417187,13.0556895703125,13.0971228635937,13.0971228635937,12.8812591385937,13.301760489375,12.22527724625,12.1094574814063,12.2964053417187,12.2777876885937,11.6001702014063,12.3936103279687,12.4515900240625,12.1285030507812,12.2777876885937,11.9462276457812
ARF3,7.90514903170313,8.62228923335937,8.34237936421875,8.43354445684375,8.37937212585937,8.34482421035938,8.33856874082812,8.21482792204688,8.53047419254687,8.747264865875,9.27647068996875,9.389637045125,9.72155093695313,9.11867203009375,9.74078641032813,8.76900107867188,9.750658947875,9.60288145909375,8.86467129671875,9.71678117621875,8.9432829555,8.50787591375,9.05942901665625,9.62471366851562,9.39915207820312,9.1020616846875,9.89235973092187,8.57773357142188,9.4807738288125,9.489238996875,9.75437566421875,9.71009735725,9.27930144992187,9.2919598558125,9.87477231421875,8.91192970603125,8.761148421375,8.67996097875,8.95435137771875,9.152228976875,8.92240211954688,9.03394713217187,9.07254187925,9.02944696760938,9.27152126260937,9.29497728242188
RPL24,13.1563139926562,12.832114754375,13.1303357179687,12.698425565625,12.8812591385937,12.7607559548438,12.6583385879687,12.7050414920313,12.7914084139063,12.8069565707812,13.263428336875,12.6652050860937,12.94014454,12.5626727257812,13.0482040435937,13.1061057984375,12.9213857246875,12.7607559548438,12.2317141357812,13.0099198446875,13.301760489375,13.3418032192188,13.1563139926562,12.9575313615625,12.6448169129687,13.2474188275,13.1398485814063,13.2061104554687,12.3640300967187,12.4515900240625,11.8787266917188,13.0626381826563,12.6716090185938,13.0797210254687,12.616691573125,13.122394108125,11.9462276457812,12.2839938384375,12.2632401282813,11.9579515895313,11.2945459584375,12.2899401734375,12.3936103279687,12.3288428457812,12.5555153407813,11.6789354010937
HNRNPC,10.6309828025,10.6171984579687,10.7419060651563,10.7517744728125,10.6330870614063,10.497780560625,10.3380037084375,10.286515678125,10.3492507029687,10.5183941301563,10.5183941301563,10.621814036875,11.0114551190625,10.6646553245312,10.8812750329687,10.9151237607813,11.4356565821875,10.9024711370313,10.457640041875,10.6417479846875,10.7052074101562,10.918132405625,10.6058325920313,10.8124472446875,10.7605576553125,11.13513233125,10.6646553245312,10.6826877076562,10.5646024907812,10.4620162148438,10.1732544001562,10.3965025110938,11.0863186175,10.4474246503125,10.662451825,10.6238966071875,10.0134660160781,10.6285548576562,10.4074771282813,10.2326072738125,10.5263518523437,9.89987733478125,10.4911117903125,10.390678659375,10.421042865,10.2111712857188
SEPT2,10.1637593070156,10.3625671101563,10.1715636274687,10.2257325662813,10.5044673609375,10.2825935489063,10.5000558254687,10.3346624790625,10.2080935154062,10.3346624790625,10.4819630904687,10.5323837017188,9.51860272220313,10.1795568012656,10.1196173692031,9.54748743279687,10.2132968790781,10.3251333348438,10.3415977378125,10.2885215095313,10.2379657173594,10.224225762125,9.68282586615625,9.99088047203125,10.8335569603125,10.2825935489063,10.76772999875,10.1437572772031,10.1830742740469,10.376005009375,9.78990788545313,10.5646024907812,10.8633253676563,11.0045413759375,10.6729613929687,10.29559509375,10.0150105838125,9.84314804114062,10.2379657173594,10.1867888280937,9.39287766370312,10.2682781092188,10.1196173692031,9.95619785629687,9.98640050417188,9.56329515484375
